trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
176,False,"{'a': 0.5, 'e': 0.8171448983351285}",20,6,-62.55781966169959,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
177,False,"{'a': 0.5, 'e': 0.8151277957285543}",25,0,-90.42390765518707,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.8131007610470277}",25,0,-159.53055421613763,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
179,False,"{'a': 0.5, 'e': 0.8110638189893267}",20,4,-42.880566624493426,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
180,False,"{'a': 0.5, 'e': 0.8090169943749475}",35,0,-87.69079051717259,"{0: 22, 1: 6, 2: 6, 3: 1, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.8069603121438019}",35,7,-159.04404043365528,"{0: 17, 1: 1, 2: 7, 3: 1, 4: 2}",1
182,False,"{'a': 0.5, 'e': 0.8048937973559142}",30,6,-43.05356355107471,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.8028174751911146}",35,15,-22.695566156685956,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.8007313709487334}",20,0,-51.076871968425834,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
185,False,"{'a': 0.5, 'e': 0.7986355100472928}",25,12,-38.49130728489913,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.7965299180241963}",20,0,-57.11947755391123,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
187,False,"{'a': 0.5, 'e': 0.7944146205354181}",20,0,-4.04787981148935,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
188,False,"{'a': 0.5, 'e': 0.7922896433551907}",20,0,-52.24773118487434,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
189,False,"{'a': 0.5, 'e': 0.7901550123756904}",25,13,-10.878919661166977,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.7880107536067219}",25,14,-25.972899351475302,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.7858568931754019}",20,0,-136.60635547122186,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
192,False,"{'a': 0.5, 'e': 0.7836934573258398}",20,15,-2.562668912438419,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.7815204724188187}",25,14,-48.224971260670465,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
